,activation,hidden,learning rate,loss_train,loss_test
0,relu,1,0.0003,1602.89814861013,1566.403175085824
1,relu,2,0.0003,144.59368000950653,143.6938414980373
2,relu,3,0.0001,7.606620362241119,12.495676041805275
3,linear,1,0.0001,4459.693008558467,4424.354227295575
4,linear,2,0.0001,4583.188540893184,4548.167808027301
5,linear,3,0.0001,4649.009925706688,4613.9842402455515
6,sigmoid,1,0.003,4.5275544043070735,9.50229057128129
7,sigmoid,2,0.0003,1583.0022959877779,1445.2416712105726
8,sigmoid,3,0.0003,416.7971940893583,374.5658917476074
9,tanh,1,0.001,3.3689714949864564,8.402340618373064
10,tanh,2,0.0003,737.8413239128622,727.6379189257589
11,tanh,3,0.0001,1152.3399181283032,1042.0796565998414
